Generic name,Dose,Safe dose,Geriatric dose,Class,Most common use,Mechanism of action,Adverse reactions,Contraindications,Nursing implications,Patient teaching
Benztropine,,"General dosing recommendations: Initial: IM, IV, Oral: 1 to 2 mg 2 to 3 times daily; adjust dose based on response and tolerability in 0.5 mg increments at intervals >5 days up to a maximum daily dose of 6 mg.
",,"Anti-Parkinson Agent, Anticholinergic; Anticholinergic Agent","Drug-induced extrapyramidal symptoms, acute treatment: Acute treatment drug-induced extrapyramidal symptoms (excluding tardive dyskinesia).

Parkinsonism: Adjunctive therapy of all forms of parkinsonism.",Possesses both anticholinergic and antihistaminic effects. In vitro anticholinergic activity approximates that of atropine; in vivo it is only about half as active as atropine. Animal data suggest its antihistaminic activity and duration of action approach that of pyrilamine maleate.,"Cardiovascular: Tachycardia

Central nervous system: Confusion, depression, disorientation, heatstroke, hyperthermia, lethargy, memory impairment, nervousness, numbness of fingers, psychotic symptoms (exacerbation of pre-existing symptoms), toxic psychosis, visual hallucination

Dermatologic: Skin rash

Gastrointestinal: Constipation, nausea, paralytic ileus, vomiting, xerostomia

Genitourinary: Dysuria, urinary retention

Ophthalmic: Blurred vision, mydriasis","Hypersensitivity to benztropine mesylate or any component of the formulation.

Children <3 years of age (due to atropine-like adverse effects including severe anhidrosis and fatal hyperthermia) and should be used cautiously in older children.","Monitor renal function and therapeutic response. Monitor for anticholinergic syndrome (dry mouth and mucous membranes, constipation, epigastric distress, such as nausea and vomiting, CNS disturbances, such as confusion, psychotic symptoms, and memory disturbances, paralytic ileus). Instruct patients to use caution in hot weather or during exercise.",
Betaderm,,"Base dosage on severity of disease and patient response. Use lowest dose possible for shortest period of time to avoid HPA axis suppression. Therapy should be discontinued when control is achieved.

",,"Corticosteroid, Topical","Dermatoses: Relief of inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.

Dermatoses of the scalp (foam): Relief of inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses of the scalp.

Plaque psoriasis (spray; patch [Canadian product]): Treatment of mild to moderate plaque psoriasis in patients 18 years and older.","Topical corticosteroids have anti-inflammatory, antipruritic, and vasoconstrictive properties. May depress the formation, release, and activity of endogenous chemical mediators of inflammation (kinins, histamine, liposomal enzymes, prostaglandins) through the induction of phospholipase A2 inhibitory proteins (lipocortins) and sequential inhibition of the release of arachidonic acid. Betamethasone has intermediate to very high range potency (dosage-form dependent).","Endocrine & metabolic: HPA axis suppression

Local: Application site reaction (≤54%; includes application site burning, stinging of the skin, and application-site pruritus; most reactions were mild)","Canadian labeling: Additional contraindications (not in US labeling): Treatment of rosacea, acne vulgaris, perioral dermatitis, or pruritus without inflammation (foam); viral diseases (eg, herpes simplex, chicken pox, vaccina); untreated bacterial, fungal, parasitic, syphilis, and tubercular infection involving the skin; eruptions following vaccinations (patch); application to eyes (foam); <18 years of age (patch). Note: Product labels may vary (refer also to product labels).


Hypersensitivity to betamethasone, other corticosteroids, or any component of the formulation
",,
bisaCODyl suppository (Dulcolax),,"Bowel cleansing (enema only): Rectal: 10 mg (1 enema) as single dose

Constipation:

Oral: 5 to 15 mg once daily

Rectal: Enema, suppository: 10 mg (1 enema or suppository) once daily",,"Laxative, Stimulant","Bowel cleansing (enema only): Bowel cleansing prior to rectal examination.

Constipation: Temporary relief of occasional constipation and irregularity.

","Stimulates peristalsis by directly irritating the smooth muscle of the intestine, possibly the colonic intramural plexus; alters water and electrolyte secretion producing net intestinal fluid accumulation and laxation"," Abdominal cramps (mild), electrolyte disturbance (metabolic acidosis or alkalosis, hypocalcemia), nausea, rectal irritation (burning), vertigo, vomiting
",,,
bisoPROlol (Monocor),,Oral: Initial: 2.5 to 5 mg once daily; titrate at weekly (or longer) intervals as needed based on patient response; usual dosage range: 2.5 to 10 mg once daily; maximum dose: 20 mg/day (ACC/AHA [Whelton 2018]).,,"Antihypertensive; Beta-Blocker, Beta-1 Selective",Hypertension: Management of hypertension. Note: Beta-blockers are not recommended as first-line therapy (ACC/AHA [Whelton 2018]).,"Selective inhibitor of beta1-adrenergic receptors; competitively blocks beta1-receptors, with little or no effect on beta2-receptors at doses ≤20 mg","​Bradyarrhythmias
​Bronchospasm
​CNS effects

​Potentiation/masking of hypoglycemia: Beta-blockers may worsen, prolong, or cause hypoglycemia (Ref). In addition, beta-blockers may mask symptoms of hypoglycemia (tremor, irritability, palpitations), making diaphoresis the only symptom unaffected by beta-blockers (Ref). It is unclear if nonselective or selective beta-blockers are more likely to cause hypoglycemia; data are conflicting. One study suggests bisoprolol has no effect on blood glucose (Ref).

Mechanism: Dose-related; related to the pharmacologic action. Beta-blockers inhibit hepatic gluconeogenesis and glycogenolysis (Ref). Beta-blockers also reduce activation of the sympathetic nervous system; therefore, masking hypoglycemic symptoms that are catecholamine-mediated (Ref).


​Withdrawal
","Cardiogenic shock; overt cardiac failure; marked sinus bradycardia or heart block greater than first-degree (except in patients with a functioning artificial pacemaker).

Canadian labeling: Additional contraindications (not in US labeling): Hypersensitivity to bisoprolol or any component of the formulation; overt cardiac failure requiring IV inotropic therapy; sick sinus syndrome or sinoatrial block; hypotension (systolic BP <100 mm Hg); severe bronchial asthma or chronic obstructive pulmonary disease; peripheral arterial occlusive disease (late stages); Raynaud syndrome; pheochromocytoma (untreated); metabolic acidosis.",,
budesonide inhaler,"200 mcg/puff, 2 puff",400mcg/day,,"corticosteroid, inhalant",asthma,"controls the rate of protein synthesis, depressed the migration of polymorphonuclear leukocytes, fibroblats; reverese capillary permeability and lysosomal stabillization at the cellular level to prevent or control inflammation. has potent glucocorticoid acitivty and weak mineralocorticoid activity","Otitis media, respiration infection","moderate to severe bronchiectasis, pulmonary tuberculosis, untreated respiratory infection",check ordered pulmonary function tests results and report abnormalities,
Calcium,,500g?,,Calcium salt,hypocalcemia,moderates nerve and muslce performance via action potential excitation and threshhold regulation,"anorexia, consitpation, nausea, vomiting",,,
Carvedilol,3.125mg,up to 25mg twice daily,,"antihypertensinve, beta blocker with alpha blocking activity","heart failure with reduced ejection fraction including left ventricular dysfunction following MI
HTN",nonselective beta-adrenoreceptor and alpha-adrenergic blocking activity. ,"cardiovascular: hypotension
dizziness, fatigue
weight gain","severe hypotension, primary obstructive valvular heart disease, mental incapacity (alzheimers, alcoholism, drug abuse) unless closely supervised","**BP, HR",
CeFAZolin Bag,,"2 g every 8 hours (Fowler 2021; IDSA [Mermel 2009]); treat uncomplicated Staphylococcus aureus bacteremia for ≥14 days starting from day of first negative blood culture, with longer courses warranted for endocarditis or metastatic sites of infection",,"Antibiotic, Cephalosporin (First Generation)",infection,"Inhibits bacterial cell wall synthesis by binding to one or more of the penicillin-binding proteins (PBPs) which in turn inhibits the final transpeptidation step of peptidoglycan synthesis in bacterial cell walls, thus inhibiting cell wall biosynthesis. Bacteria eventually lyse due to ongoing activity of cell wall autolytic enzymes (autolysins and murein hydrolases) while cell wall assembly is arrested.","Cardiovascular: Hypotension, syncope

Dermatologic: Pruritus (including genital pruritus), skin rash, Stevens-Johnson syndrome, urticaria

Gastrointestinal: Abdominal cramps, anorexia, Clostridioides difficile colitis, diarrhea, epigastric pain, flatulence, heartburn, nausea, oral candidiasis, oral mucosal ulcer, pruritus ani, vomiting

Genitourinary: Vaginitis, vulvovaginal candidiasis, vulvovaginal pruritus

Hematologic & oncologic: Eosinophilia, leukopenia, neutropenia, thrombocythemia, thrombocytopenia

Hepatic: Hepatitis, increased serum alanine aminotransferase, increased serum alkaline phosphatase, increased serum aspartate aminotransferase

Hypersensitivity: Anaphylaxis

Local: Induration at injection site, injection site phlebitis, pain at injection site

Nervous system: Confusion, dizziness, drowsiness, drug fever, fatigue, headache

Neuromuscular: Asthenia

Renal: Increased blood urea nitrogen, increased serum creatinine, renal failure syndrome","Hypersensitivity to cefazolin, other cephalosporin antibiotics, penicillins, other beta-lactams, or any component of the formulation.","Check lab results and report abnormalities. Monitor closely for signs of hypersensitivity (shortness of breath, dyspnea, chest pain, complaints of difficulty swallowing or throat tightness, or change in vital signs). Monitor for severe or bloody diarrhea and send a specimen to the lab for C. difficile. Monitor for improvement with infection.
",
cefTRIAXone,2g,IV 1-2g (depending on infection type),,"antibiotic, cephalosporin (3rd gen)",treat infection,inhibits bacterial cell wall synthesis by binindg to one or more pencillin bindnig proteins to inhibit final transpeptidaiton of peptidoglycan synthesis,"-ceftriaxone calcium precipitation (damage to lung and kidney, mostly in children)
- clostridioides (formerly C.difficile)
-hemolytic anemia (via autoimmune: IgM type immune complexes)
- hypersentiviity reactions (maculopapular rashes to anaphylaxis range)
- kernicterus (displaces bilirubin from albumin -> higher conc. unconjugated bilirubin, in babies, yellowing of eyes and skin)","Risk X: BCG, cholera vaccine

Risk D:
neonates
calcium salts IV
Ringers IV","monitor labs
monitor hypersensitivity
monitor for bloody diarrhea
NEVER CONNECT IV infusion of drug to infection with calcium",
cloNIDine (Catapres),,"Oral: Immediate release: Initial: 0.1 mg twice daily; increase dose in increments of 0.1 mg/day at weekly intervals based on response and tolerability; usual dose range: 0.2 to 0.6 mg/day in 2 divided doses. The manufacturer's labeling includes a maximum daily dose of 2.4 mg; however, doses >0.6 mg/day are generally not used.","Hypertension: Oral: Immediate release: Initial: 0.1 mg once daily at bedtime, increase gradually as needed.","Alpha2-Adrenergic Agonist; Antihypertensive
","Attention-deficit/hyperactivity disorder (extended-release tablet): Treatment of attention-deficit/hyperactivity disorder (monotherapy or as adjunctive therapy)

Hypertension (immediate-release tablet and transdermal patch): Management of hypertension. Note: Not recommended for the initial treatment of hypertension (ACC/AHA [Whelton 2018]). Clonidine should be avoided for the treatment of hypertension in patients with heart failure with reduced ejection fraction of ischemic origin (AHA/ACC/ASH [Rosendorff 2015]).

Vasomotor symptoms associated with menopause (0.025 mg tablet [Canadian product]): Relief of menopausal flushing in patients for whom hormonal replacement therapy is unnecessary or not desirable.","Stimulates alpha-2 adrenoceptors in the brain stem, thus activating an inhibitory neuron, resulting in reduced sympathetic outflow from the CNS, producing a decrease in peripheral resistance, renal vascular resistance, heart rate, and blood pressure; epidural clonidine may produce pain relief at spinal presynaptic and postjunctional alpha-2 adrenoceptors by preventing pain signal transmission; pain relief occurs only for the body regions innervated by the spinal segments where analgesic concentrations of clonidine exist. For the treatment of ADHD, the mechanism of action is unknown; it has been proposed that postsynaptic alpha-2 agonist stimulation regulates subcortical activity in the prefrontal cortex, the area of the brain responsible for emotions, attentions, and behaviors and causes reduced hyperactivity, impulsiveness, and distractibility. Epidurally administered clonidine produces dose-dependent analgesia not antagonized by opiate antagonists. The analgesia is limited to the body regions innervated by the spinal segments where analgesic concentrations of clonidine are present. Clonidine is thought to produce analgesia at presynaptic and postjunctional alpha-2 adrenoceptors in the spinal cord by preventing pain signal transmission to the brain.","Bradycardia and hypotension
​Withdrawal syndrome/rebound hypertension","Canadian labeling: Additional contraindications (not in US labeling): Severe bradyarrhythmia from second- or third-degree atrioventricular block or sick sinus syndrome; sinus node dysfunction; hereditary problems of galactose intolerance (eg, galactosemia).",,
Clopidogrel,75mg,75mg,,antiplatelet,"acute coronary syndrome (ST segmenet eleveation, non ST MI), MI, ischemic stroke","Clopidogrel requires in vivo biotransformation to an active thiol metabolite. The active metabolite irreversibly blocks the P2Y12 component of ADP receptors on the platelet surface, which prevents activation of the GPIIb/IIIa receptor complex, thereby reducing platelet aggregation. Platelets blocked by clopidogrel are affected for the remainder of their lifespan (~7 to 10 days).","hemmorage, bruising","liver impariment or cholestatic jaundice, concomitant use of repaglinide",**Check ordered labs and report abnormalities. Monitor for and educated patient to report signs and symptoms of bleeding. Educate cardiac patients about adherence to therapy; avoid discontinuation for any procedures without consultation with patient's cardiologist.,
Cyanocobalamin (Vitamin B12),,Dietary supplement: Oral: 1 to 2 tablets daily or as directed by health care provider.,,vitamin,"Dietary supplement: Nutritional supplement in end-stage renal failure, dialysis, hyperhomocysteinemia, homocystinuria, malabsorption syndromes, dietary deficiencies.",,"Rare cases of anaphylactic reactions to cyanocobalamin have been reported in the literature (Alves-Correia 2017; Hovding 1968; Kuwata 2009; Ugwu 1981) and this effect is noted in the product labeling for all formulations, including the intranasal gel. Pruritus and rash have been observed in some patients (Kartal 2012). Most reactions have been associated with parenteral formulations. In addition, acneiform eruptions have also been reported (Balta 2013; Elmas 2020; Veraldi 2018).",,,
Dequalinium lozenge,,,,quinolines and derivatives,,"Dequalinium has a multiple mode of action. It disrupts the cell permeability of the bacteria by absorbing onto the bacterial cell surface and diffusing across the membrane. It also binds to the cytoplasmic membrane with subsequent formation of complexes and protein precipitation and lyses the membrane in adequate concentrations, perturbing osmotic exchange. Loss of normal enzymatic activity is achieved through several different processes. Denaturation of proteins results in inhibition of bacterial cell metabolism. Disruption of bacterial energy production is mediated through inhibition of glucose metabolism and inhibition of mitochondrial ATP synthesis via inhibition of bacterial F1-ATPase. Protein synthesis is also terminated at the level of ribosomes. Bacterial nucleic acids are also affected through direct binding of the drug to DNA in vitro, and precipitation of cytoplasmic material with nucleic acids being the most sensitive 1. The cationic form of dequalinium accumulates in the mitochondria and promotes anticancer activity in human leukemia cells. It mediates a cytotoxic effect by altering redox balance in cells and downregulating Raf/MEK/ERK1/2 and PI3K/Akt signaling pathways in these cells which leads to cell death by apoptosis and/or necrosis 3,4,5. Dequalinium inhibits mycothiol ligase activity in Mycobacterium tuberculosis strains 9.",,,,
Dextrose 5%,,"Hypoglycemia:

IV: 10 to 25 g (40 to 100 mL of 25% solution or 20 to 50 mL of 50% solution); repeat as needed in severe cases.",,"Antidote, Hypoglycemia; Intravenous Nutritional Therapy","Oral:

Hypoglycemia: Treatment of hypoglycemia

Glucose tolerance test (Glutol): Oral glucose tolerance test for diagnosis of diabetes mellitus

Intravenous:

5% and 10% solutions: Fluid replacement/calories: Provision of calories and/or fluid replacement

25% (hypertonic) solution: Hypoglycemia: Treatment of acute symptomatic episodes of hypoglycemia in infants and children to restore depressed blood glucose levels

50% (hypertonic) solution: Hyperinsulinemia, insulin shock: Treatment of insulin-induced hypoglycemia (hyperinsulinemia or insulin shock)

≥10% solutions: Nutritional support: Infusion after admixture with other intravenous nutrients (eg, amino acids, fat emulsion) for nutritional support","Dextrose, a monosaccharide, is a source of calories and fluid for patients unable to obtain an adequate oral intake; may decrease body protein and nitrogen losses; promotes glycogen deposition in the liver. When used in the treatment of hyperkalemia (combined with insulin), dextrose stimulates the transient uptake of potassium by cells, especially in muscle tissue, lowering serum potassium.","Cardiovascular: Localized phlebitis, phlebitis, venous thrombosis

Central nervous system: Confusion, loss of consciousness

Endocrine & metabolic: Dehydration, glycosuria, hyperglycemia, hyperosmolar syndrome, hypervolemia, hypokalemia

Local: Local pain

Respiratory: Pulmonary edema","Injectable: Hypersensitivity to dextrose, corn or corn products, or any component of the formulation; hypertonic solutions in patients with intracranial or intraspinal hemorrhage; delirium tremens (if dehydrated); severe dehydration; clinically significant hyperglycemia; anuria; hepatic coma; dextrose solutions without electrolytes should not be administered simultaneously with blood through the same infusion set because of the possibility that pseudoagglutination of red cells may occur. Contraindications may vary by product (also refer to manufacturer's labeling).",,
diclofenac gel 2.32% (Voltaren),1 application,up to 2g twice a day,,NSAID,relief of arhtitis pains in joints,"reversibly inhbits COX-1 and 2 results in decreasded prostaglandin prepcursors -> antipyretic, analgesic","application on site sscaling, cntact dermatitis, pruritis","Hypersensitivity to diclofenac (eg, anaphylactic reaction, serious skin reactions) or any component of the formulation; history of asthma, urticaria, or other allergic-type reactions after taking aspirin or other nonsteroidal anti-inflammatory drugs; use in the setting of coronary artery bypass graft surgery; use on nonintact or damaged skin, including exudative dermatitis, eczema, infected lesions, burns, or wounds.",monitor skin integrity before and after application,
digoxin,0.125mg,maintenance of 0.125mg to 0.25 mg once dadilyy,,antiarrhythmatic agent,"afib, heart failure with reduced ejection fraction",inhibits Na/K ATPase in myocardial cells resulting in transient increase of intracelllar sodium,"digoxin toxicity(n/v, visual disturbances, tachycardia, AV block)",vfib,"Monitor laboratory tests when beginning or changing dosage, especially with IV administration. IV: Monitor ECG continuously. Oral: Monitor apical pulse before administering any dose. Teach patient to report noncardiac signs of toxicity (eg, anorexia, blurred vision, ""yellow"" vision, confusion).",
Dimenhydrinate,25-50mg,50-100mg max 400mg/day,,"ethanoloamine derivative, histamine h1 antagonist, first generaiotn","motion sickness, nausea, vomitting","Competes with histamine for H1-receptor sites on effector cells in the gastrointestinal tract, blood vessels, and respiratory tract; blocks chemoreceptor trigger zone, diminishes vestibular stimulation, and depresses labyrinthine function through its central anticholinergic activity","tachycardia, dizziness, drowsy, skin rash, headache, anorexia, dysuria, blurred vision","concurrent use of or use within 14 days following therapy with a monoamine oxidase inhibitor; narrow angle glaucoma; chronic pulmonary disease; prostatic hypertrophy; patients <2 years of age
",,
